国民民主党,名詞,複合,*,*,国民民主党,*,*
は,助詞,係助詞,*,*,は,*,*
9日,名詞,複合,*,*,9日,*,*
の,助詞,連体化,*,*,の,*,*
第,接頭詞,数接続,*,*,第,*,*
1回総務会,名詞,複合,*,*,1回総務会,*,*
で,助詞,格助詞,一般,*,で,*,*
東日本大震災復興,名詞,複合,*,*,東日本大震災復興,*,*
福島,名詞,固有名詞,地域,一般,福島,*,*
原発事故対策本部,名詞,複合,*,*,原発事故対策本部,*,*
の,助詞,連体化,*,*,の,*,*
設置,名詞,サ変接続,*,*,設置,*,*
を,助詞,格助詞,一般,*,を,*,*
決め,動詞,自立,*,*,決める,一段,連用形
まし,助動詞,*,*,*,ます,特殊・マス,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
役員構成,名詞,複合,*,*,役員構成,*,*
は,助詞,係助詞,*,*,は,*,*
次,名詞,一般,*,*,次,*,*
の,助詞,連体化,*,*,の,*,*
通り,名詞,一般,*,*,通り,*,*
顧問,名詞,一般,*,*,顧問,*,*
古川元久幹事長,名詞,複合,*,*,古川元久幹事長,*,*
本部長,名詞,複合,*,*,本部長,*,*
増子輝彦幹事長代行,名詞,複合,*,*,増子輝彦幹事長代行,*,*
本部長代理,名詞,複合,*,*,本部長代理,*,*
小宮山泰子衆院議員,名詞,複合,*,*,小宮山泰子衆院議員,*,*
小熊慎司衆院議員,名詞,複合,*,*,小熊慎司衆院議員,*,*
副,接頭詞,名詞接続,*,*,副,*,*
本部長,名詞,複合,*,*,本部長,*,*
桜井充参...,名詞,複合,*,*,桜井充参...,*,*
