森友,名詞,固有名詞,人名,姓,森友,*,*
問題,名詞,ナイ形容詞語幹,*,*,問題,*,*
財務省,名詞,固有名詞,組織,*,財務省,*,*
ゴミ,名詞,一般,*,*,ゴミ,*,*
の,助詞,連体化,*,*,の,*,*
撤去,名詞,サ変接続,*,*,撤去,*,*
費用,名詞,一般,*,*,費用,*,*
の,助詞,連体化,*,*,の,*,*
増額,名詞,サ変接続,*,*,増額,*,*
要求,名詞,サ変接続,*,*,要求,*,*
認める,動詞,自立,*,*,認める,一段,基本形
|,名詞,サ変接続,*,*,|,*,*
nhk,名詞,固有名詞,組織,*,nhk,*,*
ニュース,名詞,一般,*,*,ニュース,*,*
