森友,名詞,固有名詞,人名,姓,森友,*,*
問題,名詞,ナイ形容詞語幹,*,*,問題,*,*
価格,名詞,一般,*,*,価格,*,*
交渉,名詞,サ変接続,*,*,交渉,*,*
を,助詞,格助詞,一般,*,を,*,*
示唆,名詞,サ変接続,*,*,示唆,*,*
する,動詞,自立,*,*,する,サ変・スル,基本形
新た,名詞,形容動詞語幹,*,*,新た,*,*
な,助動詞,*,*,*,だ,特殊・ダ,体言接続
文書,名詞,一般,*,*,文書,*,*
(,名詞,サ変接続,*,*,(,*,*
abc,名詞,一般,*,*,abc,*,*
テレビ,名詞,一般,*,*,テレビ,*,*
),名詞,サ変接続,*,*,),*,*
-,名詞,サ変接続,*,*,-,*,*
yahoo,名詞,固有名詞,組織,*,yahoo,*,*
!,名詞,サ変接続,*,*,!,*,*
ニュース,名詞,一般,*,*,ニュース,*,*
