西日本,名詞,固有名詞,地域,一般,西日本,*,*
豪雨,名詞,一般,*,*,豪雨,*,*
死者,名詞,一般,*,*,死者,*,*
158,名詞,数,*,*,158,*,*
人,名詞,接尾,助数詞,*,人,*,*
不明,名詞,形容動詞語幹,*,*,不明,*,*
72,名詞,数,*,*,72,*,*
人,名詞,接尾,助数詞,*,人,*,*
避難,名詞,サ変接続,*,*,避難,*,*
者,名詞,接尾,一般,*,者,*,*
は,助詞,係助詞,*,*,は,*,*
約,接頭詞,数接続,*,*,約,*,*
1,名詞,数,*,*,1,*,*
万,名詞,数,*,*,万,*,*
人,名詞,接尾,助数詞,*,人,*,*
:,名詞,サ変接続,*,*,:,*,*
朝日新聞,名詞,固有名詞,組織,*,朝日新聞,*,*
デジタル,名詞,一般,*,*,デジタル,*,*
