辛い,形容詞,自立,*,*,辛い,形容詞・アウオ段,基本形
もの好きすぎ,名詞,複合,*,*,もの好きすぎ,*,*
蓮舫さん,名詞,複合,*,*,蓮舫さん,*,*
の,助詞,連体化,*,*,の,*,*
激辛調味料,名詞,複合,*,*,激辛調味料,*,*
|,名詞,サ変接続,*,*,|,*,*
永田町,名詞,固有名詞,地域,一般,永田町,*,*
霞が関,名詞,固有名詞,地域,一般,霞が関,*,*
の,助詞,連体化,*,*,の,*,*
サラめし,名詞,複合,*,*,サラめし,*,*
|,名詞,サ変接続,*,*,|,*,*
nhk政治マガジン,名詞,複合,*,*,nhk政治マガジン,*,*
