大分,名詞,固有名詞,地域,一般,大分,*,*
山崩れ発生,名詞,複合,*,*,山崩れ発生,*,*
から,助詞,格助詞,一般,*,から,*,*
19時間,名詞,複合,*,*,19時間,*,*
照明使い捜索,名詞,複合,*,*,照明使い捜索,*,*
続く,動詞,自立,*,*,続く,五段・カ行イ音便,基本形
