加計,名詞,固有名詞,地域,一般,加計,*,*
で,助詞,格助詞,一般,*,で,*,*
愛媛県職員ら官邸訪問予定,名詞,複合,*,*,愛媛県職員ら官邸訪問予定,*,*
文科省,名詞,複合,*,*,文科省,*,*
に,助詞,格助詞,一般,*,に,*,*
メール,名詞,サ変接続,*,*,メール,*,*
残る,動詞,自立,*,*,残る,五段・ラ行,基本形
:朝日新聞デジタル,名詞,複合,*,*,:朝日新聞デジタル,*,*
