森友,名詞,固有名詞,人名,姓,森友,*,*
文書,名詞,一般,*,*,文書,*,*
:,名詞,サ変接続,*,*,:,*,*
公表,名詞,サ変接続,*,*,公表,*,*
延期,名詞,サ変接続,*,*,延期,*,*
23,名詞,数,*,*,23,*,*
日,名詞,接尾,助数詞,*,日,*,*
に,助詞,格助詞,一般,*,に,*,*
財務省,名詞,固有名詞,組織,*,財務省,*,*
黒,名詞,一般,*,*,黒,*,*
塗り,名詞,接尾,一般,*,塗り,*,*
間に合わ,動詞,自立,*,*,間に合う,五段・ワ行促音便,未然形
ぬ,助動詞,*,*,*,ぬ,特殊・ヌ,基本形
-,名詞,サ変接続,*,*,-,*,*
毎日新聞,名詞,固有名詞,組織,*,毎日新聞,*,*
