安倍,名詞,固有名詞,人名,姓,安倍,*,*
政権,名詞,一般,*,*,政権,*,*
下,名詞,接尾,一般,*,下,*,*
の,助詞,連体化,*,*,の,*,*
改憲,名詞,一般,*,*,改憲,*,*
反対,名詞,サ変接続,*,*,反対,*,*
58,名詞,数,*,*,58,*,*
%,名詞,サ変接続,*,*,%,*,*
朝日,名詞,固有名詞,組織,*,朝日,*,*
世論,名詞,一般,*,*,世論,*,*
調査,名詞,サ変接続,*,*,調査,*,*
:,名詞,サ変接続,*,*,:,*,*
朝日新聞,名詞,固有名詞,組織,*,朝日新聞,*,*
デジタル,名詞,一般,*,*,デジタル,*,*
