森友,名詞,固有名詞,人名,姓,森友,*,*
文書,名詞,一般,*,*,文書,*,*
財務省,名詞,固有名詞,組織,*,財務省,*,*
が,助詞,格助詞,一般,*,が,*,*
改ざん,名詞,サ変接続,*,*,改ざん,*,*
認める,動詞,自立,*,*,認める,一段,基本形
書き換え,名詞,サ変接続,*,*,書き換え,*,*
一転,名詞,サ変接続,*,*,一転,*,*
:,名詞,サ変接続,*,*,:,*,*
朝日新聞,名詞,固有名詞,組織,*,朝日新聞,*,*
デジタル,名詞,一般,*,*,デジタル,*,*
