東京,名詞,固有名詞,地域,一般,東京,*,*
労働,名詞,サ変接続,*,*,労働,*,*
局長,名詞,一般,*,*,局長,*,*
が,助詞,格助詞,一般,*,が,*,*
謝罪,名詞,サ変接続,*,*,謝罪,*,*
非常,名詞,形容動詞語幹,*,*,非常,*,*
に,助詞,副詞化,*,*,に,*,*
不適切,名詞,形容動詞語幹,*,*,不適切,*,*
な,助動詞,*,*,*,だ,特殊・ダ,体言接続
発言,名詞,サ変接続,*,*,発言,*,*
で,助詞,格助詞,一般,*,で,*,*
申し訳,名詞,ナイ形容詞語幹,*,*,申し訳,*,*
なく,助動詞,*,*,*,ない,特殊・ナイ,連用テ接続
思う,動詞,自立,*,*,思う,五段・ワ行促音便,基本形
|,名詞,サ変接続,*,*,|,*,*
nhk,名詞,固有名詞,組織,*,nhk,*,*
ニュース,名詞,一般,*,*,ニュース,*,*
