加計,名詞,固有名詞,人名,姓,加計,*,*
問題,名詞,ナイ形容詞語幹,*,*,問題,*,*
疑惑,名詞,一般,*,*,疑惑,*,*
は,助詞,係助詞,*,*,は,*,*
晴れ,動詞,自立,*,*,晴れる,一段,連用形
て,助詞,接続助詞,*,*,て,*,*
い,動詞,非自立,*,*,いる,一段,未然形
ない,助動詞,*,*,*,ない,特殊・ナイ,基本形
83,名詞,数,*,*,83,*,*
%,名詞,サ変接続,*,*,%,*,*
朝日,名詞,固有名詞,組織,*,朝日,*,*
世論,名詞,一般,*,*,世論,*,*
調査,名詞,サ変接続,*,*,調査,*,*
:,名詞,サ変接続,*,*,:,*,*
朝日新聞,名詞,固有名詞,組織,*,朝日新聞,*,*
デジタル,名詞,一般,*,*,デジタル,*,*
