島根,名詞,固有名詞,地域,一般,島根,*,*
原発,名詞,一般,*,*,原発,*,*
は,助詞,係助詞,*,*,は,*,*
運転,名詞,サ変接続,*,*,運転,*,*
停止,名詞,サ変接続,*,*,停止,*,*
中,名詞,接尾,副詞可能,*,中,*,*
異常,名詞,形容動詞語幹,*,*,異常,*,*
なし,形容詞,自立,*,*,ない,形容詞・アウオ段,文語基本形
|,名詞,サ変接続,*,*,|,*,*
nhk,名詞,固有名詞,組織,*,nhk,*,*
ニュース,名詞,一般,*,*,ニュース,*,*
