桜島,名詞,固有名詞,地域,一般,桜島,*,*
南岳山頂火口,名詞,複合,*,*,南岳山頂火口,*,*
で,助詞,格助詞,一般,*,で,*,*
爆発的噴火,名詞,複合,*,*,爆発的噴火,*,*
噴煙2100メートル:朝日新聞デジタル,名詞,複合,*,*,噴煙2100メートル:朝日新聞デジタル,*,*
