大阪,名詞,固有名詞,地域,一般,大阪,*,*
で,助詞,格助詞,一般,*,で,*,*
震度,名詞,一般,*,*,震度,*,*
6,名詞,数,*,*,6,*,*
弱,名詞,接尾,一般,*,弱,*,*
各地,名詞,一般,*,*,各地,*,*
の,助詞,連体化,*,*,の,*,*
状況,名詞,一般,*,*,状況,*,*
|,名詞,サ変接続,*,*,|,*,*
nhk,名詞,固有名詞,組織,*,nhk,*,*
news,名詞,固有名詞,組織,*,news,*,*
web,名詞,固有名詞,組織,*,web,*,*
