おやすみなさい,感動詞,*,*,*,おやすみなさい,*,*
have,名詞,固有名詞,組織,*,have,*,*
a,名詞,固有名詞,組織,*,a,*,*
nice,名詞,固有名詞,組織,*,nice,*,*
dream.,名詞,複合,*,*,dream.,*,*
