森友,名詞,固有名詞,人名,姓,森友,*,*
ごみ,名詞,一般,*,*,ごみ,*,*
積算,名詞,サ変接続,*,*,積算,*,*
近畿,名詞,固有名詞,地域,一般,近畿,*,*
財務局,名詞,固有名詞,組織,*,財務局,*,*
が,助詞,格助詞,一般,*,が,*,*
増量,名詞,サ変接続,*,*,増量,*,*
依頼,名詞,サ変接続,*,*,依頼,*,*
航空局,名詞,固有名詞,組織,*,航空局,*,*
に,助詞,格助詞,一般,*,に,*,*
数,名詞,数,*,*,数,*,*
億,名詞,数,*,*,億,*,*
円,名詞,接尾,助数詞,*,円,*,*
分,名詞,接尾,一般,*,分,*,*
:,名詞,サ変接続,*,*,:,*,*
朝日新聞,名詞,固有名詞,組織,*,朝日新聞,*,*
デジタル,名詞,一般,*,*,デジタル,*,*
