愛媛,名詞,固有名詞,地域,一般,愛媛,*,*
知事,名詞,一般,*,*,知事,*,*
偽り,名詞,一般,*,*,偽り,*,*
ある,動詞,自立,*,*,ある,五段・ラ行,基本形
なら,助動詞,*,*,*,だ,特殊・ダ,仮定形
謝罪,名詞,サ変接続,*,*,謝罪,*,*
を,助詞,格助詞,一般,*,を,*,*
加計,名詞,固有名詞,人名,姓,加計,*,*
学園,名詞,一般,*,*,学園,*,*
コメント,名詞,サ変接続,*,*,コメント,*,*
を,助詞,格助詞,一般,*,を,*,*
批判,名詞,サ変接続,*,*,批判,*,*
:,名詞,サ変接続,*,*,:,*,*
朝日新聞,名詞,固有名詞,組織,*,朝日新聞,*,*
デジタル,名詞,一般,*,*,デジタル,*,*
