も,助詞,係助詞,*,*,も,*,*
ふも,動詞,自立,*,*,ふむ,五段・マ行,未然ウ接続
ふ,動詞,自立,*,*,ふる,五段・ラ行,体言接続特殊２
...(,名詞,サ変接続,*,*,...(,*,*
うれしい,形容詞,自立,*,*,うれしい,形容詞・イ段,基本形
...,名詞,サ変接続,*,*,...,*,*
嬉しい,形容詞,自立,*,*,嬉しい,形容詞・イ段,基本形
はず!),名詞,複合,*,*,はず!),*,*
