福岡,名詞,固有名詞,地域,一般,福岡,*,*
須恵町,名詞,複合,*,*,須恵町,*,*
7地区,名詞,複合,*,*,7地区,*,*
に,助詞,格助詞,一般,*,に,*,*
避難指示,名詞,複合,*,*,避難指示,*,*
|,名詞,サ変接続,*,*,|,*,*
nhkニュース,名詞,複合,*,*,nhkニュース,*,*
