相次ぐ,動詞,自立,*,*,相次ぐ,五段・ガ行,基本形
セクハラ,名詞,一般,*,*,セクハラ,*,*
発言,名詞,サ変接続,*,*,発言,*,*
放言,名詞,サ変接続,*,*,放言,*,*
のち,名詞,副詞可能,*,*,のち,*,*
謝罪,名詞,サ変接続,*,*,謝罪,*,*
女性,名詞,一般,*,*,女性,*,*
議員,名詞,一般,*,*,議員,*,*
も,助詞,係助詞,*,*,も,*,*
あきれ,動詞,自立,*,*,あきれる,一段,連用形
顔,名詞,接尾,一般,*,顔,*,*
:,名詞,サ変接続,*,*,:,*,*
朝日新聞,名詞,固有名詞,組織,*,朝日新聞,*,*
デジタル,名詞,一般,*,*,デジタル,*,*
