ガンジー,名詞,固有名詞,人名,姓,ガンジー,*,*
も,助詞,係助詞,*,*,も,*,*
タージマハル,名詞,一般,*,*,タージマハル,*,*
も,助詞,係助詞,*,*,も,*,*
...,名詞,サ変接続,*,*,...,*,*
インド,名詞,固有名詞,地域,国,インド,*,*
で,助詞,格助詞,一般,*,で,*,*
進む,動詞,自立,*,*,進む,五段・マ行,基本形
歴史書き換え:朝日新聞デジタル,名詞,複合,*,*,歴史書き換え:朝日新聞デジタル,*,*
