安倍,名詞,固有名詞,人名,姓,安倍,*,*
内閣,名詞,一般,*,*,内閣,*,*
支持,名詞,サ変接続,*,*,支持,*,*
38,名詞,数,*,*,38,*,*
%「,名詞,サ変接続,*,*,%「,*,*
支持,名詞,サ変接続,*,*,支持,*,*
し,動詞,自立,*,*,する,サ変・スル,未然形
ない,助動詞,*,*,*,ない,特殊・ナイ,基本形
44,名詞,数,*,*,44,*,*
%,名詞,サ変接続,*,*,%,*,*
nhk,名詞,固有名詞,組織,*,nhk,*,*
世論,名詞,一般,*,*,世論,*,*
調査,名詞,サ変接続,*,*,調査,*,*
|,名詞,サ変接続,*,*,|,*,*
nhk,名詞,固有名詞,組織,*,nhk,*,*
ニュース,名詞,一般,*,*,ニュース,*,*
