party_name,screen_name,isgov
LDP,jimin_koho,true
Komeito,komei_koho,true
CDP,CDP2017,false
JCP,jcp_cc,false
JIP,osaka_ishin,false
LP,seikatsu1pr,false
SDP,SDPJapan,false
PH,kibounotou,false

