metoo,名詞,固有名詞,組織,*,metoo,*,*
隠ぺい,名詞,サ変接続,*,*,隠ぺい,*,*
改ざん,名詞,サ変接続,*,*,改ざん,*,*
ねつ造,名詞,サ変接続,*,*,ねつ造,*,*
圧力,名詞,一般,*,*,圧力,*,*
セクハラ,名詞,一般,*,*,セクハラ,*,*
文民統制崩壊,名詞,複合,*,*,文民統制崩壊,*,*
安倍政権退陣,名詞,複合,*,*,安倍政権退陣,*,*
へ,助詞,格助詞,一般,*,へ,*,*
野党合同院内集会,名詞,複合,*,*,野党合同院内集会,*,*
開催国会2018,名詞,複合,*,*,開催国会2018,*,*
