北朝鮮,名詞,固有名詞,地域,国,北朝鮮,*,*
による,助詞,格助詞,連語,*,による,*,*
6度目,名詞,複合,*,*,6度目,*,*
の,助詞,連体化,*,*,の,*,*
核実験,名詞,複合,*,*,核実験,*,*
に,助詞,格助詞,一般,*,に,*,*
断固,副詞,一般,*,*,断固,*,*
抗議,名詞,サ変接続,*,*,抗議,*,*
する,動詞,自立,*,*,する,サ変・スル,基本形
(談話),名詞,複合,*,*,(談話),*,*
