衆,名詞,固有名詞,人名,名,衆,*,*
内閣委,名詞,複合,*,*,内閣委,*,*
カジノ,名詞,一般,*,*,カジノ,*,*
を,助詞,格助詞,一般,*,を,*,*
解禁,名詞,サ変接続,*,*,解禁,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
リゾート施設,名詞,複合,*,*,リゾート施設,*,*
の,助詞,連体化,*,*,の,*,*
建設,名詞,サ変接続,*,*,建設,*,*
を,助詞,格助詞,一般,*,を,*,*
推進,名詞,サ変接続,*,*,推進,*,*
する,動詞,自立,*,*,する,サ変・スル,基本形
カジノリゾート法案,名詞,複合,*,*,カジノリゾート法案,*,*
が,助詞,格助詞,一般,*,が,*,*
怒号,名詞,サ変接続,*,*,怒号,*,*
の,助詞,連体化,*,*,の,*,*
中,名詞,非自立,副詞可能,*,中,*,*
採決強行,名詞,複合,*,*,採決強行,*,*
本,接頭詞,名詞接続,*,*,本,*,*
法案,名詞,一般,*,*,法案,*,*
の,助詞,連体化,*,*,の,*,*
問題点,名詞,複合,*,*,問題点,*,*
は,助詞,係助詞,*,*,は,*,*
多数,名詞,副詞可能,*,*,多数,*,*
昨日,名詞,副詞可能,*,*,昨日,*,*
吉田党首,名詞,複合,*,*,吉田党首,*,*
が,助詞,格助詞,一般,*,が,*,*
会見,名詞,サ変接続,*,*,会見,*,*
で,助詞,格助詞,一般,*,で,*,*
指摘,名詞,サ変接続,*,*,指摘,*,*
カジノ,名詞,一般,*,*,カジノ,*,*
カジノ法案...,名詞,複合,*,*,カジノ法案...,*,*
