北朝鮮,名詞,固有名詞,地域,国,北朝鮮,*,*
による,助詞,格助詞,連語,*,による,*,*
弾道ミサイル,名詞,複合,*,*,弾道ミサイル,*,*
の,助詞,連体化,*,*,の,*,*
発射,名詞,サ変接続,*,*,発射,*,*
に,助詞,格助詞,一般,*,に,*,*
抗議,名詞,サ変接続,*,*,抗議,*,*
する,動詞,自立,*,*,する,サ変・スル,基本形
(談話)政治,名詞,複合,*,*,(談話)政治,*,*
seiji,名詞,固有名詞,組織,*,seiji,*,*
