安倍,名詞,固有名詞,人名,姓,安倍,*,*
9,名詞,数,*,*,9,*,*
条,名詞,接尾,助数詞,*,条,*,*
改憲,名詞,一般,*,*,改憲,*,*
に,助詞,格助詞,一般,*,に,*,*
反対,名詞,サ変接続,*,*,反対,*,*
みんな,名詞,代名詞,一般,*,みんな,*,*
の,助詞,連体化,*,*,の,*,*
力,名詞,一般,*,*,力,*,*
で,助詞,格助詞,一般,*,で,*,*
戦争,名詞,サ変接続,*,*,戦争,*,*
する,動詞,自立,*,*,する,サ変・スル,基本形
国,名詞,一般,*,*,国,*,*
=,名詞,サ変接続,*,*,=,*,*
9,名詞,数,*,*,9,*,*
条,名詞,接尾,助数詞,*,条,*,*
改憲,名詞,一般,*,*,改憲,*,*
を,助詞,格助詞,一般,*,を,*,*
やめ,動詞,自立,*,*,やめる,一段,未然形
させ,動詞,接尾,*,*,させる,一段,連用形
ましょ,助動詞,*,*,*,ます,特殊・マス,未然ウ接続
う,助動詞,*,*,*,う,不変化型,基本形
1,名詞,数,*,*,1,*,*
pdf,名詞,一般,*,*,pdf,*,*
表裏,名詞,サ変接続,*,*,表裏,*,*
