出す,動詞,自立,*,*,出す,五段・サ行,基本形
べき,助動詞,*,*,*,べし,文語・ベシ,体言接続
うみ,動詞,自立,*,*,うむ,五段・マ行,連用形
は,助詞,係助詞,*,*,は,*,*
首相,名詞,一般,*,*,首相,*,*
自身,名詞,一般,*,*,自身,*,*
野党,名詞,一般,*,*,野党,*,*
議員,名詞,一般,*,*,議員,*,*
が,助詞,格助詞,一般,*,が,*,*
訴え,動詞,自立,*,*,訴える,一段,連用形
国会,名詞,一般,*,*,国会,*,*
前,接頭詞,名詞接続,*,*,前,*,*
デモ,名詞,サ変接続,*,*,デモ,*,*
:,名詞,サ変接続,*,*,:,*,*
朝日新聞,名詞,固有名詞,組織,*,朝日新聞,*,*
デジタル,名詞,一般,*,*,デジタル,*,*
