安倍,名詞,固有名詞,人名,姓,安倍,*,*
内閣,名詞,一般,*,*,内閣,*,*
不信任,名詞,一般,*,*,不信任,*,*
決議,名詞,サ変接続,*,*,決議,*,*
案,名詞,接尾,一般,*,案,*,*
提出,名詞,サ変接続,*,*,提出,*,*
理由,名詞,一般,*,*,理由,*,*
国会,名詞,一般,*,*,国会,*,*
kokkai,名詞,固有名詞,組織,*,kokkai,*,*
共謀,名詞,サ変接続,*,*,共謀,*,*
罪,名詞,接尾,一般,*,罪,*,*
絶対,名詞,副詞可能,*,*,絶対,*,*
反対,名詞,サ変接続,*,*,反対,*,*
