衆,名詞,固有名詞,人名,名,衆,*,*
本,接頭詞,名詞接続,*,*,本,*,*
会議,名詞,サ変接続,*,*,会議,*,*
議事日程一,名詞,複合,*,*,議事日程一,*,*
厚労委員長,名詞,複合,*,*,厚労委員長,*,*
丹羽秀樹君,名詞,複合,*,*,丹羽秀樹君,*,*
解任決議案,名詞,複合,*,*,解任決議案,*,*
記名採決一,名詞,複合,*,*,記名採決一,*,*
厚労大臣,名詞,複合,*,*,厚労大臣,*,*
塩崎恭久君,名詞,複合,*,*,塩崎恭久君,*,*
不信任決議案,名詞,複合,*,*,不信任決議案,*,*
記名採決一,名詞,複合,*,*,記名採決一,*,*
会期延長,名詞,複合,*,*,会期延長,*,*
の,助詞,連体化,*,*,の,*,*
件(,名詞,複合,*,*,件(,*,*
本,接頭詞,名詞接続,*,*,本,*,*
国会,名詞,一般,*,*,国会,*,*
の,助詞,連体化,*,*,の,*,*
会期,名詞,一般,*,*,会期,*,*
を,助詞,格助詞,一般,*,を,*,*
12月14日,名詞,複合,*,*,12月14日,*,*
まで,助詞,副助詞,*,*,まで,*,*
14日間延長,名詞,複合,*,*,14日間延長,*,*
する,動詞,自立,*,*,する,サ変・スル,基本形
の,助詞,連体化,*,*,の,*,*
件),名詞,複合,*,*,件),*,*
第,接頭詞,数接続,*,*,第,*,*
一,名詞,数,*,*,一,*,*
官民データ活用推進基本法案,名詞,複合,*,*,官民データ活用推進基本法案,*,*
第,接頭詞,数接続,*,*,第,*,*
二,名詞,数,*,*,二,*,*
年金カット法案,名詞,複合,*,*,年金カット法案,*,*
国会,名詞,一般,*,*,国会,*,*
kokkai,名詞,固有名詞,組織,*,kokkai,*,*
