新しい,形容詞,自立,*,*,新しい,形容詞・イ段,基本形
デジタル民主主義,名詞,複合,*,*,デジタル民主主義,*,*
の,助詞,連体化,*,*,の,*,*
第一歩,名詞,一般,*,*,第一歩,*,*
オープンエントリー2016,名詞,複合,*,*,オープンエントリー2016,*,*
ファイナリスト街頭演説会:,名詞,複合,*,*,ファイナリスト街頭演説会:,*,*
平成28年3月25日/news/activities/img/act_131779_01.jp..,名詞,複合,*,*,平成28年3月25日/news/activities/img/act_131779_01.jp..,*,*
