live,名詞,固有名詞,組織,*,live,*,*
on,名詞,固有名詞,組織,*,on,*,*
periscope,名詞,固有名詞,組織,*,periscope,*,*
:,名詞,サ変接続,*,*,:,*,*
twitter,名詞,固有名詞,組織,*,twitter,*,*
で,接続詞,*,*,*,で,*,*
動画,名詞,一般,*,*,動画,*,*
生,名詞,接尾,一般,*,生,*,*
配信,名詞,サ変接続,*,*,配信,*,*
が,助詞,格助詞,一般,*,が,*,*
出来る,動詞,自立,*,*,出来る,一段,基本形
よう,名詞,非自立,助動詞語幹,*,よう,*,*
に,助詞,格助詞,一般,*,に,*,*
なっ,動詞,自立,*,*,なる,五段・ラ行,連用タ接続
た,助動詞,*,*,*,た,特殊・タ,基本形
と,助詞,格助詞,引用,*,と,*,*
の,助詞,連体化,*,*,の,*,*
事,名詞,非自立,一般,*,事,*,*
で,助動詞,*,*,*,だ,特殊・ダ,連用形
j,名詞,固有名詞,組織,*,j,*,*
-,名詞,サ変接続,*,*,-,*,*
nsc,名詞,固有名詞,組織,*,nsc,*,*
みんな,名詞,代名詞,一般,*,みんな,*,*
で,助詞,格助詞,一般,*,で,*,*
聞こ,動詞,自立,*,*,聞く,五段・カ行イ音便,未然ウ接続
う,助動詞,*,*,*,う,不変化型,基本形
ze,名詞,固有名詞,組織,*,ze,*,*
!」,名詞,サ変接続,*,*,!」,*,*
ゲスト,名詞,一般,*,*,ゲスト,*,*
:,名詞,サ変接続,*,*,:,*,*
牧原,名詞,固有名詞,人名,姓,牧原,*,*
ひで,名詞,固有名詞,人名,名,ひで,*,*
き,助動詞,*,*,*,き,文語・キ,基本形
議員,名詞,一般,*,*,議員,*,*
を,助詞,格助詞,一般,*,を,*,*
テスト,名詞,サ変接続,*,*,テスト,*,*
配信,名詞,サ変接続,*,*,配信,*,*
中,名詞,接尾,副詞可能,*,中,*,*
動画,名詞,一般,*,*,動画,*,*
は,助詞,係助詞,*,*,は,*,*
24,名詞,数,*,*,24,*,*
時間,名詞,接尾,助数詞,*,時間,*,*
保存,名詞,サ変接続,*,*,保存,*,*
さ,動詞,自立,*,*,する,サ変・スル,未然レル接続
れる,動詞,接尾,*,*,れる,一段,基本形
そう,名詞,接尾,助動詞語幹,*,そう,*,*
で,助動詞,*,*,*,だ,特殊・ダ,連用形
...,名詞,サ変接続,*,*,...,*,*
