今,接頭詞,名詞接続,*,*,今,*,*
国会初,名詞,複合,*,*,国会初,*,*
の,助詞,連体化,*,*,の,*,*
党首討論(20日)安倍総理,名詞,複合,*,*,党首討論(20日)安倍総理,*,*
平和安全法制,名詞,複合,*,*,平和安全法制,*,*
を,助詞,格助詞,一般,*,を,*,*
説明:,名詞,複合,*,*,説明:,*,*
平成27年5月20日/news/activities/img/act_126420_01.jpg..,名詞,複合,*,*,平成27年5月20日/news/activities/img/act_126420_01.jpg..,*,*
