おしえ,動詞,自立,*,*,おしえる,一段,連用形
て,助詞,接続助詞,*,*,て,*,*
先生!」生放送中,名詞,複合,*,*,先生!」生放送中,*,*
です,助動詞,*,*,*,です,特殊・デス,基本形
ゲスト:,名詞,複合,*,*,ゲスト:,*,*
松本,名詞,固有名詞,地域,一般,松本,*,*
哲治,名詞,固有名詞,人名,名,哲治,*,*
浦添市長司,名詞,複合,*,*,浦添市長司,*,*
会:ミヤザキ,名詞,複合,*,*,会:ミヤザキ,*,*
政久議員,名詞,複合,*,*,政久議員,*,*
今井絵理子議員<,名詞,複合,*,*,今井絵理子議員<,*,*
ニコニコ,副詞,助詞類接続,*,*,ニコニコ,*,*
動画>:<youtube>:...,名詞,複合,*,*,動画>:<youtube>:...,*,*
