谷合,名詞,固有名詞,地域,一般,谷合,*,*
正明,名詞,固有名詞,人名,名,正明,*,*
参院,名詞,固有名詞,組織,*,参院,*,*
議員,名詞,一般,*,*,議員,*,*
は,助詞,係助詞,*,*,は,*,*
性的,名詞,形容動詞語幹,*,*,性的,*,*
指向,名詞,サ変接続,*,*,指向,*,*
性,名詞,一般,*,*,性,*,*
自認,名詞,サ変接続,*,*,自認,*,*
(,名詞,サ変接続,*,*,(,*,*
sogi,名詞,固有名詞,組織,*,sogi,*,*
),名詞,サ変接続,*,*,),*,*
による,助詞,格助詞,連語,*,による,*,*
差別,名詞,サ変接続,*,*,差別,*,*
を,助詞,格助詞,一般,*,を,*,*
なくそ,動詞,自立,*,*,なくす,五段・サ行,未然ウ接続
う,助動詞,*,*,*,う,不変化型,基本形
と,助詞,格助詞,引用,*,と,*,*
活動,名詞,サ変接続,*,*,活動,*,*
する,動詞,自立,*,*,する,サ変・スル,基本形
団体,名詞,一般,*,*,団体,*,*
の,助詞,連体化,*,*,の,*,*
院内,名詞,一般,*,*,院内,*,*
集会,名詞,サ変接続,*,*,集会,*,*
レインボー,名詞,一般,*,*,レインボー,*,*
東京,名詞,固有名詞,地域,一般,東京,*,*
2020,名詞,数,*,*,2020,*,*
で,助詞,格助詞,一般,*,で,*,*
あいさつ,名詞,サ変接続,*,*,あいさつ,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
まし,助動詞,*,*,*,ます,特殊・マス,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
谷合,名詞,固有名詞,地域,一般,谷合,*,*
氏,名詞,接尾,人名,*,氏,*,*
は,助詞,係助詞,*,*,は,*,*
lgbt,名詞,固有名詞,組織,*,lgbt,*,*
を,助詞,格助詞,一般,*,を,*,*
はじめ,名詞,副詞可能,*,*,はじめ,*,*
性,名詞,一般,*,*,性,*,*
の,助詞,連体化,*,*,の,*,*
多様,名詞,形容動詞語幹,*,*,多様,*,*
な,助動詞,*,*,*,だ,特殊・ダ,体言接続
あり方,名詞,一般,*,*,あり方,*,*
を,助詞,格助詞,一般,*,を,*,*
認める,動詞,自立,*,*,認める,一段,基本形
社会,名詞,一般,*,*,社会,*,*
へ,助詞,格助詞,一般,*,へ,*,*
皆さん,名詞,一般,*,*,皆さん,*,*
と共に,助詞,格助詞,連語,*,と共に,*,*
取り組み,名詞,一般,*,*,取り組み,*,*
...,名詞,サ変接続,*,*,...,*,*
