ゆる,動詞,自立,*,*,ゆる,五段・ラ行,基本形
キャラ,名詞,一般,*,*,キャラ,*,*
グランプリ,名詞,一般,*,*,グランプリ,*,*
2017,名詞,数,*,*,2017,*,*
コメ,名詞,一般,*,*,コメ,*,*
助,接頭詞,名詞接続,*,*,助,*,*
アピール,名詞,サ変接続,*,*,アピール,*,*
動画,名詞,一般,*,*,動画,*,*
:,名詞,サ変接続,*,*,:,*,*
が,接続詞,*,*,*,が,*,*
アップ,名詞,サ変接続,*,*,アップ,*,*
ロード,名詞,一般,*,*,ロード,*,*
