100,名詞,数,*,*,100,*,*
万,名詞,数,*,*,万,*,*
人,名詞,接尾,助数詞,*,人,*,*
訪問,名詞,サ変接続,*,*,訪問,*,*
調査,名詞,サ変接続,*,*,調査,*,*
運動,名詞,サ変接続,*,*,運動,*,*
斉藤,名詞,固有名詞,人名,姓,斉藤,*,*
幹事,名詞,一般,*,*,幹事,*,*
長,名詞,接尾,一般,*,長,*,*
代行,名詞,サ変接続,*,*,代行,*,*
は,助詞,係助詞,*,*,は,*,*
広島,名詞,固有名詞,地域,一般,広島,*,*
市,名詞,接尾,地域,*,市,*,*
安佐南,名詞,固有名詞,地域,一般,安佐南,*,*
区,名詞,接尾,地域,*,区,*,*
の,助詞,連体化,*,*,の,*,*
有限,名詞,一般,*,*,有限,*,*
会社,名詞,一般,*,*,会社,*,*
サカイ,名詞,一般,*,*,サカイ,*,*
建設,名詞,サ変接続,*,*,建設,*,*
を,助詞,格助詞,一般,*,を,*,*
訪問,名詞,サ変接続,*,*,訪問,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
実情,名詞,一般,*,*,実情,*,*
を,助詞,格助詞,一般,*,を,*,*
聞き,動詞,自立,*,*,聞く,五段・カ行イ音便,連用形
まし,助動詞,*,*,*,ます,特殊・マス,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
酒井,名詞,固有名詞,人名,姓,酒井,*,*
代表,名詞,サ変接続,*,*,代表,*,*
取締役,名詞,一般,*,*,取締役,*,*
は,助詞,係助詞,*,*,は,*,*
建設,名詞,サ変接続,*,*,建設,*,*
業,名詞,接尾,一般,*,業,*,*
の,助詞,連体化,*,*,の,*,*
人手,名詞,一般,*,*,人手,*,*
不足,名詞,サ変接続,*,*,不足,*,*
が,助詞,格助詞,一般,*,が,*,*
深刻,名詞,形容動詞語幹,*,*,深刻,*,*
だ,助動詞,*,*,*,だ,特殊・ダ,基本形
特に,副詞,一般,*,*,特に,*,*
職人,名詞,一般,*,*,職人,*,*
が,助詞,格助詞,一般,*,が,*,*
減っ,動詞,自立,*,*,減る,五段・ラ行,連用タ接続
て,助詞,接続助詞,*,*,て,*,*
い,動詞,非自立,*,*,いる,一段,連用形
て,助詞,接続助詞,*,*,て,*,*
本当に,副詞,一般,*,*,本当に,*,*
厳しい,形容詞,自立,*,*,厳しい,形容詞・イ段,基本形
と,助詞,格助詞,引用,*,と,*,*
訴え,動詞,自立,*,*,訴える,一段,連用形
まし,助動詞,*,*,*,ます,特殊・マス,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
...,名詞,サ変接続,*,*,...,*,*
