ま,フィラー,*,*,*,ま,*,*
つば多美子,名詞,複合,*,*,つば多美子,*,*
時局講演会,名詞,複合,*,*,時局講演会,*,*
東京,名詞,固有名詞,地域,一般,東京,*,*
杉並区(2017年6月4日):,名詞,複合,*,*,杉並区(2017年6月4日):,*,*
