小池都知事,名詞,複合,*,*,小池都知事,*,*
から,助詞,格助詞,一般,*,から,*,*
中島よし,名詞,複合,*,*,中島よし,*,*
お,接頭詞,名詞接続,*,*,お,*,*
に,助詞,格助詞,一般,*,に,*,*
エール,名詞,一般,*,*,エール,*,*
議員報酬,名詞,複合,*,*,議員報酬,*,*
の,助詞,連体化,*,*,の,*,*
2割削減,名詞,複合,*,*,2割削減,*,*
政務活動費,名詞,複合,*,*,政務活動費,*,*
の,助詞,連体化,*,*,の,*,*
削減,名詞,サ変接続,*,*,削減,*,*
と,助詞,並立助詞,*,*,と,*,*
大胆,名詞,形容動詞語幹,*,*,大胆,*,*
な,助動詞,*,*,*,だ,特殊・ダ,体言接続
改革,名詞,サ変接続,*,*,改革,*,*
を,助詞,格助詞,一般,*,を,*,*
議会,名詞,一般,*,*,議会,*,*
で,助詞,格助詞,一般,*,で,*,*
引っ張っ,動詞,自立,*,*,引っ張る,五段・ラ行,連用タ接続
て,助詞,接続助詞,*,*,て,*,*
くれ,動詞,非自立,*,*,くれる,一段・クレル,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
の,名詞,非自立,一般,*,の,*,*
が,助詞,格助詞,一般,*,が,*,*
中島さん私,名詞,複合,*,*,中島さん私,*,*
は,助詞,係助詞,*,*,は,*,*
ずっと,副詞,一般,*,*,ずっと,*,*
中島さん,名詞,複合,*,*,中島さん,*,*
を,助詞,格助詞,一般,*,を,*,*
頼り,名詞,ナイ形容詞語幹,*,*,頼り,*,*
に,助詞,格助詞,一般,*,に,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
て,助詞,接続助詞,*,*,て,*,*
き,動詞,非自立,*,*,くる,カ変・クル,連用形
まし,助動詞,*,*,*,ます,特殊・マス,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
しっかり,副詞,助詞類接続,*,*,しっかり,*,*
と,助詞,副詞化,*,*,と,*,*
前,名詞,副詞可能,*,*,前,*,*
へ,助詞,格助詞,一般,*,へ,*,*
一歩一歩,名詞,複合,*,*,一歩一歩,*,*
着実,名詞,形容動詞語幹,*,*,着実,*,*
に,助詞,副詞化,*,*,に,*,*
進ん,動詞,自立,*,*,進む,五段・マ行,連用タ接続
で,助詞,接続助詞,*,*,で,*,*
いき,動詞,非自立,*,*,いく,五段・カ行促音便,連用形
たい,助動詞,*,*,*,たい,特殊・タイ,基本形
その,連体詞,*,*,*,その,*,*
ため,名詞,非自立,副詞可能,*,ため,*,*
に,助詞,格助詞,一般,*,に,*,*
中,接頭詞,名詞接続,*,*,中,*,*
...,名詞,サ変接続,*,*,...,*,*
